Field,Group,Albania,Czech+Republic,Denmark,Austria,Croatia,Bulgaria,Estonia,Andorra,Belgium,Bosnia+And+Herzegovina,Finland,France,Germany,Hungary,Greece,Australia,Iceland,Ireland,Liechtenstein,Latvia,Italy,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,New+Zealand,Netherlands,North+Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United+Kingdom
Currency_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curency,Currency_info,Lek,Kč,kr,€,kn,лв,€,€,€,KM,€,€,€,Ft,€,A$,kr,€,Fr.,€,€,€,€,€,L,€,€,NZ$,€,ден,kr,zł,€,lei,Дин,€,€,€,kr,Fr.,£
Bottle_of_Wine,Groceries,736.48,120,60,7,40,10,7,4.5,6.5,10,12,7,5,1450,6,15,2500,10,15,6,5,7,8,6,60,12,5,15,5.99,240,150,25,4,25,500,4.5,5,5,95,13,7
Domestic_Beer,Groceries,99.57,17.59,12.09,1.07,8.74,1.49,1.34,0.92,1.61,1.35,2.67,2.06,0.57,285.42,1.36,5.69,404.12,2.65,1.96,1.18,1.37,1.12,1.98,1.52,16.28,2,0.81,4.6,1.19,45.15,32.43,3.44,1.03,3.79,75.38,0.8,1.09,0.88,17.08,2.03,1.78
Cigarettes_20_Pack,Groceries,330,120,55,5.7,32.5,6,4.95,4,7.5,6,8.62,10,7,1800,4.6,38,1494.5,14.5,9,4,5.6,4.35,5.4,5.9,39.5,10,3.5,35.7,8,150,137,18,5,22,360,4.1,4.4,5,67,8.6,11.8
Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One_way_Ticket_Local_Transport,Transportation,40,30,24,2.4,8,1.6,1.5,1.85,2.5,1.8,3,1.6,2.8,350,1.2,4.5,490,2.69,4.67,1.15,1.5,0.97,0,1.75,2,2,1,3,3,35,39,4,1.6,2.5,90,0.8,1.3,1.4,34,3.5,2.5
Monthly_Pass,Transportation,1600,500,465,49,332,50,20,45,49,50,58,65.5,70,9500,30,154.56,12000,100,50,40,35,29,0,26,145,45,30,150,90,1200,740,100,40,80,3200,25,30,40,900,80,65
Taxi_Start,Transportation,300,40,50,5,20,1.6,2.5,2.6,4.98,2,6,2.4,3.5,700,3.5,4.15,740,4,1.6,2,5,1,3.5,5,25,3,1,3.5,3.75,50,100,8,3.25,2.7,170,2.8,1.5,3.5,52,6.5,3
Taxi_1km,Transportation,300,28,15,1.8,6,0.99,0.7,1.15,2,1,1.55,1.74,2,300,1,2.16,331,1.27,1.03,0.7,1.2,0.62,2.9,2,4,2,0.75,3,2.22,30,15,2.5,0.7,2.5,70,1,1,1.06,20,3.8,1.24
Taxi_1hour_Waiting,Transportation,1500,300,429.2,27.6,50,13.2,12.89,5,30,11,47,25.2,30,4500,12,50,7920,24,7.01,10,27,9,31.3,30,60,60,7,60,30,300,500,40,15,25,500,10.2,18,20,539.5,69,17.4
Gasoline_1l,Transportation,189.16,46.22,14.39,1.72,10.9,2.68,1.52,1.15,1.82,2.36,2.22,1.99,2.2,474.48,2.08,1.98,250.41,1.83,1.65,1.59,2.19,1.62,1.38,1.37,22.9,1.69,1.32,2.8,2.11,71.56,20.29,6.05,2.03,7.98,166.3,1.44,1.38,1.5,19.85,1.8,1.53
